formula     mp_id       data        prediction  
TbCoSi      mp-22206    0           0           1
Y2Au        mp-979911   0           0           1
TiCuSi      mp-20255    0           1           1
CdF2        mp-1101972  -1          0           1
TmGaNi      mp-1101855  -1          0           1
Cs2Te       mp-573763   0           0           1
Sr2Pb       mp-30828    1           1           1
Mg2Si       mp-1101851  -1          0           1
SrICl       mp-1208666  -1          0           1
BiSCl       mp-23318    0           0           1
TbAlPd      mp-12722    1           1           1
OF2         mp-1095223  0           0           1
HfFeSi      mp-1102314  -1          0           1
CaCdAu      mp-569628   0           0           1
NaCuN       mp-1245590  -1          0           1
ZrFeP       mp-20892    0           1           1
TmAlAu      mp-1102248  -1          1           1
TiNiP       mp-1102188  -1          1           1
BaCaPb      mp-1102214  -1          1           1
ZrNiSb      mp-20697    0           0           1
ErGeRh      mp-20043    0           0           1
KCaN        mp-1245709  -1          0           1
TbSiRu      mp-20645    0           0           1
NdGaPt      mp-1103572  -1          0           1
NbCoAs      mp-1101967  -1          1           1
NaCdN       mp-1246953  -1          0           1
Dy2Pt       mp-1103421  -1          0           1
SmAlPd      mp-1102212  -1          1           1
V2P         mp-20541    -1          1           1
LuNiGe      mp-19922    -1          0           1
SbSeBr      mp-1209072  -1          0           1
Ca2Pb       mp-30478    0           0           1
BaLiN       mp-1247100  -1          0           1
TbGeRh      mp-22816    1           0           1
Pr2Al       mp-1103225  -1          0           1
CaGaAu      mp-11811    1           1           1
TaCoSi      mp-1102650  -1          1           1
SbSI        mp-23007    -1          0           1
PbCl2       mp-23291    0           0           1
CaCdPd      mp-1103172  -1          0           1
NaLiSe      mp-28603    0           0           1
PbBrCl      mp-22997    0           0           1
TmNiSn      mp-1102179  -1          0           1
TaRh2       mp-1103212  -1          0           1
Sr2Si       mp-1106     0           0           1
MgPd2       mp-12741    0           0           1
ScNiGe      mp-7066     0           0           1
SmGaNi      mp-1103079  -1          0           1
ErSiRu      mp-22247    0           0           1
ErTeAs      mp-1212634  -1          0           1
YSiNi       mp-20557    0           0           1
ThS2        mp-1146     0           0           1
ErNiPb      mp-1213066  -1          1           1
ZrCoP       mp-8418     1           1           1
ZrSiNi      mp-1103272  -1          0           1
CaInAu      mp-20378    1           1           1
LaSbTe      mp-1185210  -1          0           1
CaMgPd      mp-1102662  -1          1           1
TaNiAs      mp-1102844  -1          1           1
DyAlPd      mp-1103382  -1          1           1
HfGeRh      mp-1102945  -1          1           1
HoGaPd      mp-31386    1           1           1
TiO2        mp-1102255  -1          0           1
NClO        mp-505727   0           0           1
ZrP2        mp-1523     1           1           1
YZnRh       mp-1207608  -1          0           1
Li2O        mp-755894   -1          0           1
BaCaSi      mp-16253    0           0           1
MgSi2       mp-1073529  -1          0           1
Cs2O        mp-755573   -1          0           1
DyAsSe      mp-1102952  -1          0           1
LiGeN       mp-1246553  -1          0           1
DySbRh      mp-1212894  -1          0           1
TbGaPt      mp-22251    1           0           1
YbAlRh      mp-1207572  -1          1           1
PbIO        mp-1102199  -1          0           1
